Freudian    adj.佛洛伊德的；佛洛伊德学说的 n.相信佛洛伊学说的人
GNP    abbr.国民生产总值(=Gross National Product)
Inuit    n.因纽特人；因纽特语
NATO    abbr.北大西洋公约组织(=North Atlantic Treaty Organization)
Quaker    n.教友派信徒
Seoul    n.首尔（旧称汉城；韩国首都）
Spaniard    n.西班牙人
abduct    vt.诱拐；绑走
abolish    vt.废除，取消
abolitionist    n.废除主义者；废奴主义者
abrogation    n.取消；废除
abruptly    adv.突然地；莽撞地；陡峭地；不连贯地
abscissa    n.横坐标；横线
abstinence    n.节制；禁食；戒酒
accelerate    vt.(使)加快；促进
access    n.接近；通道，入口
accidental    a.偶然的；非本质的
accommodation    n.招待设备；预定铺位
accord    n.调和，符合；协议
accordingly    ad.因此，所以；照着
accrue    vi.自然增加；积累；生成 vt.积累
acquiesce    vi.默许；勉强同意
acquired    adj.已取得的；已获得的；已成习惯的
acquisition    n.获得；所获之物；采集
acquittal    n.开释；宣告无罪
acridine    n.[化]吖啶；氮蒽
acrylic    adj.丙烯酸的 n.丙烯酸的纤维；丙烯酸塑料；丙烯酸树脂；腈纶
activate    v.激活；使活动；起动
actuate    vt.促使；开动（机器等）
acupuncture    n.针灸；针治
acute    a.尖的，锐的；敏锐的
adamant    adj.坚定不移的；固执的 n.坚硬无比之物；硬石
addition    n.加，加法；附加物
additive    n.添加剂 adj.加添的
adipose    adj.脂肪的；多脂肪的 n.脂肪
adjoining    adj.毗邻的
adjudication    n.判决；裁定；破产之宣告
admonition    n.警告；劝告
adopt    vt.收养；采用；采取
adrenal    adj.肾上腺的 n.肾上腺
adulatory    adj.谄媚的；奉承的；阿谀的
adversarial    adj.对手的；敌对的；对抗的
adverse    adj.不利的；逆向的；有害的
aerobic    adj.需氧的；有氧的；增氧健身法的
aeronautics    n.航空学
aerosol    n.浮质；喷雾剂；气溶胶
affinity    n.姻亲；密切关系；吸引力
afflict    vt.使苦恼；折磨
affluence    n.富裕
afoul    adj.相冲突的 adv.相冲突地
aftermath    n.后果；余波；灾后时期；再生作物
agenda    n.议事日程
aggravate    vt.恶化；严重
aggregation    n.集合；聚合；集合体
ailment    n.小病；疾病
alfalfa    n.[植]苜蓿
algae    n.水藻；海藻
algebra    n.代数学
alienate    vt.使疏远；离间；让与；麻木
alkaline    adj.碱的；碱性的
allegiance    n.忠诚；效忠
allergy    n.过敏症；反感；厌恶
alleviate    vt.减轻；使 ... 缓和
alligator    n.短吻鳄 adj.鳄鱼皮的
allowance    n津贴，补助费
almshouse    n.养老院；救济院
alternative    n.替换物；取舍，抉择
altitude    n.高，高度；高处
alto    n.男最高音；女最低音；中音部 adj.中音部的
alumni    n.男毕业生；校友
amalgam    n.汞合金；混合物
amass    v.积聚；收集
amateur    a.业余的n.业余爱好者
ambiguity    n.模棱两可；含糊不清
ambivalence    n.矛盾情绪；矛盾心理
ambivalent    adj.矛盾的；摇摆不定的
amend    vt.修正；改进
amiable    adj.和蔼的；亲切的
amnesia    n.健忘症；记忆缺失
amphetamine    n.苯异丙胺（安非他明）
ample    a.足够的；宽敞的
anachronism    n.时代上的错误；被置错时代或年代的事物；不合潮流的人(物)
anaerobic    adj.厌氧的
analgesic    n.镇痛剂 adj.止痛的
anatomy    n.解剖学；解剖学专著；分解；解剖；骨骸
ancestor    n.祖宗；祖先；原种
anecdotal    adj.轶事的；趣闻的
anemia    n.贫血；贫血症
anesthetic    n.麻醉剂；麻药 adj.麻醉的；无知觉的
anesthetics    n.麻醉剂
animate    v.使有生气；赋予生命；鼓励 adj.有生命的；有活力的
annuity    n.年金；养老金；年金保险
anonymous    adj.匿名的；无名的；没特色的
anopheles    n.疟蚊
antagonism    n.对抗；对立；敌对状态（行为）
antebellum    adj.战前的(尤指美国南北战争前的）
antedate    v.使 ... 提前发生；先于；提早日期 n.=predate
anterior    adj.前面的；前部的；较早的
anthology    n.选集；文选
anthropological    adj.人类学的
antibiotics    n.抗生素
antibody    n.抗体
anticlimactic    adj.渐降法的；虎头蛇尾的
antidote    n.解毒剂；解药；对抗手段
antifreeze    n.防冻剂；防冻液
antigen    n.[医] 抗原
antipode    n.正相反的事物
antipsychotic    n.安定药；抗精神病药 adj.抗精神病的；治疗精神病的；抗精神活动的
antiquity    n.古代；古物；古迹
antithesis    n.对照；正相反；对比法
ape    n.猿 adj.<俚>疯狂的 v.模仿
aperiodic    adj.非周期性的
apolitical    adj.不关心政治的；无政治意义的
apologist    n.辩护者；（宗教的）护教家
apothecary    n.药剂师；药师
apparatus    n.器械，仪器；器官
apparel    n.衣服；装具 vt.装饰；使 ... 穿衣
appliance    n.用具，器具，器械
applicable    a.能应用的；适当的
apportion    v.分配；分摊；分派
apprehend    v.理解；忧虑；逮捕；拘押
apprentice    n.学徒；见习生 v.使当学徒
approbation    n.认可；赞许
