Africa    n.非洲
African    a.非洲的
America    n.美国；美洲
American    n.美国人；美洲人 adj.美国的；美洲的
April    n.四月
Arab    n.阿拉伯人；阿拉伯马 adj.阿拉伯人的；阿拉伯的
Arabian    a.阿拉伯的
Asia    n.亚洲
Asian    a.亚洲的
Atlantic    a.大西洋的
August    n.八月
Australia    n.澳大利亚
Australian    a.澳大利亚的
Britain    n.不列颠，英国
British    a.不列颠的，英联邦的
Canada    n.加拿大
Canadian    a.加拿大的
Chinese    a.中国的
Christian    a.基督教的
Christmas    n.圣诞节
December    n.十二月
England    n.英格兰；英国
English    n.英语
Englishman    n.英国男子
Europe    n.欧洲
European    a.欧洲的
Fahrenheit    n.华氏温度计
February    n.二月
France    n.法国，法兰西
French    a.法国的
Friday    n.星期五
German    a.德国的
Germany    n.德意志，德国
Greece    n.希腊
Greek    a.希腊的
I    pron.(主格)我
IOU    n.(=I owe you).
India    n.印度
Indian    a.印度的
Internet    n.因特网
Italian    a.意大利的n.意大利人
Italy    n.意大利
January    n.一月
Japan    n.日本，日本国
Japanese    a.日本的
July    n.七月
June    n.六月
Latin    a.拉丁的
March    n.三月
Marxism    n.马克思主义
May    n.五月
Mister    n.先生
Monday    n.星期一
Ms.    abbr.毫秒（=millisecond） abbr.女士（=Miss/Mrs） abbr.密西西比州（=Mississippi） abbr.理学硕士（=Master of Science） abbr.多发性硬化（=multiple sclerosis）
Negro    n.黑人
November    n.十一月
Oceania    n.大洋洲
October    n.十月
Olympic    adj.奥林匹克的
ROI    abbr.投资收益率；利润率(=return on investment)
Roman    n.罗马人，古罗马人
Russia    n.俄罗斯
Russian    a.俄罗斯的
Saturday    n.星期六
September    n.九月
Spain    n.西班牙（西南欧一国家，全称为the Kingdom of Spain，首都为Madrid）
Spanish    a.西班牙的n.西班牙人
Sunday    n.星期日，礼拜日
Swiss    a.瑞士的
Thursday    n.星期四
Tuesday    n.星期二
UFO    abbr.不明飞行物(=unidentified flying object)
UN    abbr.(=United Nations) 联合国 pron.<口>人，事物，家伙，东西
USA    abbr.(=United States of America)美国
VAT    n.增值税(=value added tax)；大桶，大盆，缸
Wednesday    n.星期三
X-ray    n.X射线，X光
abandon    vt.丢弃；放弃，抛弃
abate    v.缓和；减弱；消除
abatement    n.减少；减轻；缓和；减少额；（尤指）减税额
ability    n.能力；能耐，本领
able    a.有能力的；出色的
aboard    ad.在船(车)上；上船
about    prep.关于；在…周围
above    prep.在…上面；高于
abroad    ad.(在)国外；到处
absence    n.缺席，不在场；缺乏
absent    a.不在意的
absolute    a.绝对的；纯粹的
absorb    vt.吸收；使专心
abstract    a.理论上的
abundant    a.丰富的；大量的
academic    a.学院的；学术的
accelerate    vt.(使)加快；促进
accent    n.口音，腔调；重音
accept    vt.vi.接受；同意
acceptable    a.可接受的，合意的
acceptance    n.接受，验收；承认
access    n.接近；通道，入口
accident    n.意外的；事故
accommodation    n.招待设备；预定铺位
accompany    vt.陪伴，陪同；伴随
accomplish    vt.达到(目的)；完成
accomplishment    n.成就；完成
according    adv.根据；按照 adj.相符的，一致的，相应的；和谐的，调和的
accordingly    ad.因此，所以；照着
account    n.记述；解释；帐目
accounting    n.会计
accuracy    n.准确(性)；准确度
accurate    a.准确的，正确无误的
accuse    vt.指责；归咎于
accustom    vt.使习惯
