doubtless   ad.无疑地；很可能
loud   a.响亮的；吵闹的
ridge   n.脊；岭，山脉；垄
haste   n.急速，急忙；草率
thirsty   a.渴的；渴望的
wipe   vt.&n.揩，擦
rider   n.骑马的人；乘车的人
gain   vt.获得；增加
key   n.钥匙；键；答案
bathroom   n.浴室；盥洗室
broom   n.扫帚
motion   n.运动；手势；提议
deaf   a.聋的；不愿听的
prosperous   a.繁荣的，昌盛的
sightseeing   n.观光，游览
bend   vt.使弯曲
sister   n.姐妹，姐，妹
honest   a.诚实的；可敬的
secondly   ad.第二(点)；其次
productive   a.生产的；丰饶的
wholly   ad.完全地，全部
graph   n.(曲线)图，图表
fruit   n.水果；果实；成果
clothing   n.衣服，被褥
form   n.形式；形状
canoe   n.独木舟，皮艇，划子
specific   a.特有的；具体的
base   n.基础，底层；基地
team   n.队，组
sour   a.酸的；脾气坏的
impression   n.印；印象；印记
lieutenant   n.陆军中尉；副职官员
widen   vt.加宽
bless   vt.为…祝福
atomic   a.原子的；原子能的
transformation   n.变化；改造；转变
edge   n.边缘，边；刀口
work   n.工作；职业
stoop   vi.俯身；弯身
bone   n.骨，骨骼
rehearsal   n.排练，排演；练习
beg   vt.&vi.乞求；请求
catalog   n.目录，目录册
temporary   a.暂时的，临时的
pipeline   n.管道，管线
mistake   n.错误
X-ray   n.X射线，X光
particularly   ad.特别，尤其，格外
information   n.消息，信息；通知
compass   n.罗盘，指南针；圆规
justify   vt.证明…是正当的
shepherd   n.牧羊人，羊倌
sideways   ad.斜着，斜向一边地
box   n.箱，盒；包箱
valley   n.(山)谷，溪谷；流域
whenever   conj.无论何时，每当
swan   n.天鹅
office   n.办公室；处，局，社
before   prep.在…以前；向…
lumber   n.木材；木料；制材
aviation   n.航空，航空学
remind   vt.提醒，使想起
probably   ad.或许，大概
south   n.南，南方
our   pron.我们的
occur   vi.发生；出现，存在
freely   ad.自由地；直率地
innocent   a.清白的，幼稚的
awfully   ad.令人畏惧的；很
furnish   vt.供应，提供；装备
thrill   n.一阵激动
curve   n.曲线；弯
glad   a.高兴的；乐意的
variation   n.变化，变动；变异
sustain   vt.支撑；供养；忍受
unusually   a.不平常地，非常
slogan   n.标语，口号
spare   vt.节约
pressure   n.压力；压力；压，按
tea   n.茶；茶叶；茶树
may   v.aux.可能；可以，祝
aviation   n.航空，航空学
square   n.正方形；广场
lend   vt.把…借给，贷(款)
inevitable   a.不可避免的，必然的
ax   n.斧子
estimate   vt.估计，评价
distinction   n.差别，不同，区分
black   a.黑色的；黑暗的
internal   a.内的；国内的
handsome   a.英俊的；相当大的
evident   a.明显的，明白的
mission   n.使命，任务；使团
error   n.错误，谬误；差错
turnip   n.萝卜，芜菁
accordance   n.一致；和谐；授予
pipe   n.管子，导管；烟斗
on   the
on   the
subject   to
excuse   oneself
enquire   about
accustom   vt.使习惯
England   n.英格兰；英国
repeatedly   ad.重复地；一再
east   n.东；东部
famine   n.饥荒；严重的缺乏
viewpoint   n.观点，看法，见解
objective   a.客观的；无偏见的
sir   n.先生，阁下；…爵士
rare   a.稀薄的；稀有的
absent   a.不在场的；缺乏的
know_of   听说过
knit   vt.把…编结
sensual   adj.肉欲的；色情的；世俗的；感官的；感觉论的
deficient   a.缺乏的；欠缺的
